,titles,dates
75,"Simulating time-to-event data from parametric distributions, custom
  distributions, competing risk models and general multi-state models",2021-10-20
76,"Composite Survival Analysis: Learning with Auxiliary Aggregated
  Baselines and Survival Scores",2023-12-10
77,"Extrapolation before imputation reduces bias when imputing censored
  covariates",2022-09-10
78,"Bayesian Survival Analysis Using Gamma Processes with Adaptive Time
  Partition",2020-08-05
79,Deep Cox Mixtures for Survival Regression,2021-01-16
80,Neural Fine-Gray: Monotonic neural networks for competing risks,2023-05-11
81,"Mortality Prediction using Survival Energy Models with Functional Data
  Analysis",2024-02-09
82,"Survival analysis under non-proportional hazards: investigating
  non-inferiority or equivalence in time-to-event data",2020-09-14
83,An R Package for Modelling Excess Lifetimes,2023-11-16
84,"Automatic Brain Tumour Segmentation and Biophysics-Guided Survival
  Prediction",2019-11-19
85,A tractable Bayesian joint model for longitudinal and survival data,2021-04-22
86,A 2-step estimation procedure for semiparametric mixture cure models,2022-07-17
87,Survival Analysis via Ordinary Differential Equations,2020-09-07
88,Multi-Parameter Regression Survival Modelling with Random Effects,2021-11-16
89,"Reliability estimators for the components of series and parallel
  systems: The Weibull model",2013-02-13
90,"Efficient Estimation For The Joint Model of Survival and Longitudinal
  Data",2021-06-08
91,Single-index mixture cure model under monotonicity constraints,2022-11-17
92,"Estimating heterogeneous survival treatment effect in observational data
  using machine learning",2020-08-17
93,"Boosting Distributional Copula Regression for Bivariate Right-Censored
  Time-to-Event Data",2024-12-19
94,"Z-residual diagnostics for detecting misspecification of the functional
  form of covariates for shared frailty models",2023-02-17
95,Generalizing the Frailty Assumptions in Survival Analysis,2015-10-08
96,"Model-free Approach to Evaluate a Censored Intermediate Outcome as a
  Surrogate for Overall Survival",2024-12-18
97,"Bayesian regularization for flexible baseline hazard functions in Cox
  survival models",2024-01-31
98,"A novel calibration framework for survival analysis when a binary
  covariate is measured at sparse time points",2018-01-04
99,Gaussian process regression for survival data with competing risks,2013-12-05
100,"Use of survival analysis and simulation to improve maintenance planning
  of high voltage instrument transformers in the Dutch transmission system",2023-01-03
101,ggRandomForests: Exploring Random Forest Survival,2016-12-28
102,Learning to rank for censored survival data,2018-06-06
103,A Bayesian Survival Tree Partition Model Using Latent Gaussian Processes,2022-07-07
104,"Deep Partially Linear Transformation Model for Right-Censored Survival
  Data",2024-12-10
105,"Time-dependent mediators in survival analysis: Modelling direct and
  indirect effects with the additive hazards model",2020-11-26
106,"A presmoothing approach for estimation in semiparametric mixture cure
  models",2020-08-12
107,"Bayesian models for survival data of clinical trials: Comparison of
  implementations using R software",2019-08-19
108,A Flexible Parametric Modelling Framework for Survival Analysis,2019-01-10
109,"Doubly Robust and Efficient Calibration of Prediction Sets for Censored
  Time-to-Event Outcomes",2025-01-08
110,Variational Learning of Individual Survival Distributions,2020-03-09
111,Impact of model misspecification in shared frailty survival models,2018-10-18
112,"SMIM: a unified framework of Survival sensitivity analysis using
  Multiple Imputation and Martingale",2020-07-05
113,"Causal survival embeddings: non-parametric counterfactual inference
  under censoring",2023-06-20
114,"Maximum penalized likelihood estimation in semiparametric
  capture-recapture models",2013-11-05
115,DeepHazard: neural network for time-varying risks,2020-07-26
116,"Real-time Mortality Prediction Using MIMIC-IV ICU Data Via Boosted
  Nonparametric Hazards",2021-10-17
117,"Improved Non-parametric Penalized Maximum Likelihood Estimation for
  Arbitrarily Censored Survival Data",2021-08-04
118,"Propensity weighting plus adjustment in proportional hazards model is
  not doubly robust",2023-10-24
119,"What if we had built a prediction model with a survival super learner
  instead of a Cox model 10 years ago?",2024-12-13
120,"Optimization of Velocity Ramps with Survival Analysis for Intersection
  Merge-Ins",2023-03-13
121,"A flexible Bayesian g-formula for causal survival analyses with
  time-dependent confounding",2024-02-04
122,"Can quantum fractal fluctuations be observed in an atom-optics kicked
  rotor experiment?",2005-12-01
123,"Multi-Parameter Regression Survival Modelling: An Alternative to
  Proportional Hazards",2019-01-10
124,"TransformerLSR: Attentive Joint Model of Longitudinal Data, Survival,
  and Recurrent Events with Concurrent Latent Structure",2024-04-04
125,Individual frailty excess hazard models in cancer epidemiology,2023-01-04
126,"Total cross-section and rapidity gap survival probability at the LHC
  through an eikonal with soft gluon resummation",2007-08-27
127,Inference with penalized likelihood,2014-01-30
128,"A flexible parametric approach to synthetic patients generation using
  health data",2024-12-30
129,spsurv: An R package for semi-parametric survival analysis,2020-03-23
130,"MEGH: A parametric class of general hazard models for clustered survival
  data",2022-05-02
131,Conditional Copula Models for Right-Censored Clustered Event Time Data,2016-06-04
132,A likelihood-based approach for cure regression models,2018-12-13
